,Arched_Eyebrows,Bags_Under_Eyes,Bangs,Black_Hair,Blond_Hair,Brown_Hair,Bushy_Eyebrows,Chubby,Eyeglasses,Heavy_Makeup,Male,No_Beard,Pale_Skin,Receding_Hairline,Smiling,Wavy_Hair,Wearing_Necktie,Young
z1,1.0015244,0.06331259,0.124786526,0.15102488,0.08170777,0.08225727,0.061805382,-0.0019327316,-0.00034132617,0.26189214,0.027288519,0.27877358,0.07345439,0.1685148,0.31718397,0.16709338,-0.00018744539,0.31566027
z2,0.120967455,1.0030884,0.08161773,0.36883825,0.026607115,0.049157202,0.3039052,0.265346,0.06951393,0.060147095,0.30573082,0.33736515,0.09324775,0.047346268,0.20127405,0.064752094,0.26388153,0.10083889
z3,0.040746376,0.0322427,1.0011837,0.049989484,0.0726253,0.16575277,0.030200379,0.018503264,-0.0004500406,0.055310573,0.06259043,0.15737633,0.029488804,0.37070706,0.11440839,0.2158824,0.08900636,0.11810681
z4,0.07597161,0.07254424,0.054795563,1.003335,0.012045928,0.10167636,0.13100567,0.07702437,0.0047779377,0.14084885,0.27017337,0.32719812,0.11313701,0.032175813,0.17460838,0.07465705,0.22004344,0.45471165
z5,0.085693665,0.033444326,0.08702429,-0.0031599847,1.0001162,0.01087515,0.60096365,0.137977,0.430536,0.12578812,0.020935172,0.5305121,-0.0011710548,0.09227881,0.18670046,0.10671432,0.117489345,0.15021208
z6,0.061007734,0.03279763,0.03943676,-0.0013569559,-7.536205e-05,1.000245,-0.0007242213,-0.0005238617,-0.0014077694,0.10546824,0.054034434,0.18848084,-0.0015153628,0.012216222,0.12317747,0.03174475,0.02343148,0.1858293
z7,-0.0013649048,0.48011968,0.56600803,0.22076057,-0.0014164502,0.03671007,1.0031757,0.10795777,0.596921,0.55066735,0.60312945,0.357897,0.19171304,0.16553962,0.53643805,0.055879273,0.15196021,0.13272782
z8,-0.0002347838,0.05156025,-0.002191045,0.035180252,0.012494065,-0.00010469255,0.029160993,1.0023736,0.100719005,-0.0006308527,0.040937804,0.075332604,0.043042507,0.040341556,0.13914752,0.02881937,0.067576304,0.027432166
z9,-0.0031606292,0.05009049,0.014691588,0.24324471,0.054676138,-0.0010747184,-0.0016823001,0.046659905,1.0028356,-0.0025208788,0.21898782,0.073632896,-0.0031212613,0.10578076,0.044817284,0.055064157,-0.00049022434,0.11109171
z10,0.16278511,0.031140875,0.07408954,0.057028167,0.116676584,0.07019464,0.048133533,-0.00025949284,-0.002934184,1.0028175,-0.0007053499,0.36085042,0.014658836,-0.0031419275,0.21903265,0.18962549,0.026019648,0.34851718
z11,0.024597768,0.12892668,0.015787596,0.111826055,0.010060258,0.008418344,0.10572069,0.04965045,0.011138035,-0.00012715928,1.0005397,0.17330448,0.014501798,0.03905344,0.14041226,0.047007237,0.058038935,0.25821042
z12,0.25520846,0.13469465,0.13565695,0.18093781,0.1506691,0.19176176,0.07612324,-0.0007599614,-0.00043953134,0.38778308,0.25789922,0.99827814,0.041364048,-0.0009658084,0.39267394,0.28318837,0.040279385,0.62903076
z13,-0.002521791,-0.00027705182,-7.694519e-05,-0.00085423904,-0.0031512515,-9.000207e-05,-0.0016381586,-0.00066942826,-0.0003523872,-0.0009960966,0.0031728628,0.010287795,0.968998,-0.0012106522,-0.0033646992,-0.0003039197,-0.0008249582,0.018405514
z14,0.19672778,0.047982834,0.1517328,0.07753927,0.09134903,0.08742592,0.08693905,0.25209886,0.20571616,0.15498632,0.2871336,0.20303048,0.14198188,1.0021274,0.31939533,0.051528707,0.17970578,0.2742264
z15,0.13640489,0.26181412,0.13373812,0.11400277,0.15694578,0.15290561,0.11032916,0.056360077,0.22572333,0.6303992,0.31075498,0.57390356,-0.0006308257,0.0953644,1.0026637,0.116652064,0.0162093,0.3705801
z16,0.163452,0.119795494,0.334909,0.16798584,0.11962975,0.13177818,0.13332988,0.20285344,0.18104213,0.2465072,0.11883397,0.40010446,0.060344968,0.112935536,0.3984879,1.000789,0.027154714,0.2485165
z17,0.0728442,0.08584256,0.042412404,0.08580277,0.09573814,0.12783262,0.10728124,0.066530004,0.15592134,-0.0029342438,0.14495628,0.35697266,0.17629308,0.22219375,0.0656268,0.11069756,1.0015515,0.1826543
z18,0.21384272,0.08954781,0.12593885,0.24752316,0.13884622,0.17770074,0.11471575,0.059105467,0.032313146,0.3506073,0.24819937,0.699071,0.0174805,0.040592182,0.34163478,0.25134453,0.044012938,1.0026958
