,Arched_Eyebrows,Bags_Under_Eyes,Bangs,Black_Hair,Blond_Hair,Brown_Hair,Bushy_Eyebrows,Chubby,Eyeglasses,Heavy_Makeup,Male,No_Beard,Pale_Skin,Receding_Hairline,Smiling,Wavy_Hair,Wearing_Necktie,Young
z1,1.0028781,0.19412053,0.11941304,0.6111881,0.13924918,0.4466287,0.3473884,0.14298816,0.2635038,0.259898,0.2085677,0.6669686,0.7279155,0.43092713,0.494695,0.20509751,-0.0013225114,0.45306563
z2,0.05567768,1.0010469,0.018679565,0.026770338,0.0072155837,0.05577607,-0.0013295568,-0.0022749598,-0.0013292431,0.02191734,0.1469083,0.12976125,-0.0005536555,-0.0031101923,0.10204239,0.021909548,0.03558525,0.106796525
z3,0.5254382,0.72853875,1.0016987,0.009667664,0.24354659,0.62472355,0.5863291,0.1378174,0.71667445,0.23457193,0.45774364,0.41292778,0.62240195,0.14335684,0.1521687,0.077766426,0.1150422,0.14958261
z4,0.11829001,0.17581694,0.08976418,1.001887,0.0031977086,-0.0022590868,0.1731751,0.5787592,0.164245,0.19501911,0.79980886,0.30620039,0.13172007,0.100302145,0.18308876,0.101334065,0.08854225,0.27316508
z5,0.8247752,0.072094806,0.074234255,0.01055562,1.0024318,0.29654086,0.17692736,0.056642085,0.024285117,0.16542947,-5.4101565e-05,0.2653335,0.8511915,0.16914119,0.118896954,0.11819291,0.46632028,0.6389817
z6,0.72504246,0.33159384,0.12596926,0.054230947,0.3751094,0.98028874,0.094616815,0.07816187,0.21851757,0.17902113,0.14680806,0.590085,0.05059225,0.23176996,0.1698311,0.36235312,0.16105473,0.23172155
z7,-0.000513872,-0.0007395424,-0.0026408848,0.04577639,-0.0022961032,-0.0029508374,1.0011008,-5.5471544e-05,-0.0009492642,-0.0023841383,0.08164069,0.06778705,-0.0008929828,-0.00021295458,0.06477978,-6.2130595e-05,-0.0006942902,0.11944909
z8,0.30380905,0.28129995,0.25252262,0.5179832,0.68429106,0.05842571,0.66638196,1.0024116,0.26301816,0.4173445,0.23680145,0.33818126,0.41294882,0.14623007,0.11117474,0.24226688,0.22047421,0.36950266
z9,-0.0029287974,-0.00050618965,-0.00033650035,-0.002826287,0.17012763,-0.0023510486,-0.000620023,0.01738004,1.0010318,-0.0026079847,0.04546069,0.029036015,-0.002923488,0.017773062,0.045631144,0.07460226,0.12202293,0.06369299
z10,0.54708016,0.10029481,0.101036176,0.045176934,0.22583063,0.3606693,0.46153232,0.020986542,0.011705183,1.0000967,-0.0031626655,0.5514693,0.18284981,0.072452046,0.8314473,0.17211023,0.016082972,0.38831368
z11,0.04676031,0.59322125,0.27781034,0.34385246,0.016539332,0.2702079,0.26571107,0.111082,0.1595451,0.026483309,1.0005887,0.44131595,0.74294394,0.12042726,0.21738747,0.13869618,0.23820472,0.31677064
z12,0.26120573,0.12466058,0.13992052,0.14869367,0.12550335,0.18779866,0.07928132,0.033190593,0.007801361,0.37225196,0.22672081,1.0005254,0.040079445,0.06988236,0.4140336,0.2820292,0.0842539,0.6328137
z13,0.8866089,0.4375492,0.18013322,0.11617275,0.47403657,0.40739083,0.25555387,0.5425719,0.81655264,0.19480246,0.14384958,0.11844952,1.0023583,0.42265305,0.14458507,0.2511368,0.6007103,0.15153998
z14,-0.00042552914,-0.0010169457,-0.00015530457,-0.0009176126,-0.0005960359,-2.963563e-05,0.022858355,-0.0006657195,0.006596769,-0.0008903117,0.038323883,0.014199615,-0.0019047464,0.93952936,0.019871213,0.0035931398,-0.00036245945,0.0126370285
z15,0.20296955,0.1406542,0.0901294,0.1706609,0.085395694,0.13428056,0.07454252,0.40165895,0.087929316,0.18251069,0.30630705,0.42737782,0.08626879,0.1147278,1.0010142,0.18948844,0.07359754,0.4749509
z16,0.12772714,0.042135682,0.07146729,0.032679774,0.049810972,0.115236156,0.042514086,0.02277311,-0.00015343947,0.19943668,0.030024083,0.28433353,0.018114127,0.026811432,0.14609703,1.0022565,-0.0013033339,0.22983523
z17,0.021639446,0.052808378,0.086505085,0.02795268,0.01555437,0.030967206,0.23703241,0.20440054,0.08425808,0.0044223233,0.09309443,0.034674834,0.026404057,0.23653294,0.027839419,0.026553392,0.99188924,0.15030803
z18,0.5414021,0.28120604,0.10864083,0.17150928,0.1521354,0.21764871,0.21072489,0.19628914,0.0133672785,0.34796,0.30255833,0.6941674,0.0625541,0.08670423,0.38175124,0.34513447,0.026319109,1.0029421
