,Arched_Eyebrows,Bags_Under_Eyes,Bangs,Black_Hair,Blond_Hair,Brown_Hair,Bushy_Eyebrows,Chubby,Eyeglasses,Heavy_Makeup,Male,No_Beard,Pale_Skin,Receding_Hairline,Smiling,Wavy_Hair,Wearing_Necktie,Young
z1,1.0029057,0.20671304,0.15184662,0.61888,0.1084494,0.50569016,0.3632918,0.15601787,0.28779238,0.26853898,0.24088946,0.66346055,0.78493464,0.4561942,0.5137336,0.20124939,-0.0009664614,0.471495
z2,0.04738129,1.0003009,0.06299691,0.110771365,-0.0021681737,0.0652816,-0.0004870802,0.072411686,0.019812543,0.030669684,0.16746688,0.17518854,0.007668978,-0.001230917,0.15289126,0.022148779,0.014479211,0.13775131
z3,0.6270664,0.7901987,1.0018554,0.023231525,0.2798652,0.66983396,0.6387052,0.13632236,0.7567051,0.28023857,0.5537668,0.4278839,0.73402685,0.15600935,0.15005186,0.08424537,0.12378599,0.20054184
z4,0.101719044,0.22882368,0.088933736,1.0003408,-0.003173164,-0.0031302695,0.20443693,0.67928535,0.23316024,0.37542677,0.9542806,0.36867017,0.17411874,0.10387681,0.20170802,0.085005715,0.10702233,0.27964598
z5,0.9400154,0.0463892,0.08373723,0.0030490072,0.9599814,0.28639567,0.13719743,0.064002596,0.027542816,0.1608859,-0.0031461865,0.26462373,0.921262,0.16976887,0.10696191,0.1138939,0.5799915,0.6877401
z6,0.8486525,0.3603595,0.13088605,0.063983925,0.3829011,0.9742022,0.11150316,0.0796777,0.24245009,0.22174093,0.13920137,0.6395504,0.06604576,0.29112306,0.17861982,0.3665515,0.18403122,0.22905444
z7,-0.00035029856,-0.001191439,-0.0002019709,0.05977068,0.019496586,-0.0027714022,1.0027139,0.010993911,-0.0028066942,-0.00018537424,0.09165725,0.08506297,-0.00017119906,-0.00091468106,0.034922887,0.01937793,-0.001404918,0.08434829
z8,0.3605302,0.2521401,0.3787629,0.5843537,0.8406145,0.04911781,0.7089301,1.0025308,0.2820334,0.48932993,0.2842628,0.3802713,0.5030368,0.10920902,0.1233138,0.45388138,0.21025372,0.46209556
z9,-0.0030035733,-0.0031722696,0.038424797,-0.0011273646,0.36309582,0.011591395,0.028777681,0.25996587,1.0001907,-0.0031172796,0.05230433,0.033731952,-0.0026633763,0.01663103,0.02915404,0.36797267,0.24235417,0.08517751
z10,0.88097906,0.22051144,0.08747768,0.018863415,0.38019937,0.63395697,0.71300155,0.0029545946,0.114403605,1.0021877,-0.0017046729,0.6494665,0.26783755,0.09615395,0.9935347,0.19843242,0.009473041,0.64609325
z11,0.059802834,0.7550187,0.3579873,0.3877002,0.0060962723,0.4770508,0.3439844,0.1223117,0.17720665,0.041411255,1.002439,0.68609416,1.0006075,0.1390604,0.24410236,0.17729475,0.32557753,0.37339994
z12,0.22799617,0.13721012,0.14459457,0.16681531,0.12582283,0.1699939,0.07271263,0.03301325,-0.0005032559,0.40906492,0.23101272,0.9893572,-0.0002345392,0.06576072,0.40271178,0.28764838,0.0752898,0.6680672
z13,0.9663976,0.44721365,0.17755342,0.12178608,0.5116931,0.3994674,0.26797992,0.60263497,0.96391743,0.1812043,0.17152983,0.12368718,1.0007942,0.49005267,0.14172849,0.27142823,0.72361296,0.1615361
z14,-0.00072669436,0.018615212,-0.0028240094,-0.0010511293,-9.611228e-05,-0.0031627272,0.015812766,-0.00089115306,0.019560255,0.02813316,0.048200827,-0.0008676556,0.01992566,0.97043806,0.014306452,0.017175812,-0.0014116437,0.034927126
z15,0.23657748,0.14451928,0.06383523,0.20432256,0.11249329,0.14754239,0.111432515,0.5592316,0.09729534,0.1588356,0.41305426,0.45688382,0.124567755,0.21874803,1.0000812,0.29953077,0.10567393,0.55979156
z16,0.098479256,0.032551557,0.054708455,0.011832533,0.052283783,0.09192956,0.028154425,-0.00064530474,-0.0022460234,0.1918744,0.056187738,0.25797513,0.012024081,0.022089563,0.10819176,1.0005354,-0.002889565,0.20094398
z17,-0.00030195233,0.06224398,0.07853501,0.009915341,0.03719791,0.03343042,0.35134885,0.41232747,0.17753358,0.010180379,0.085011385,0.02981306,0.019191438,0.32848066,0.015126136,0.025532423,0.98132163,0.15488999
z18,0.59560466,0.30010998,0.08016326,0.17187501,0.19008279,0.22773454,0.23682147,0.24533926,0.035462633,0.3368814,0.28811842,0.7194554,0.08057682,0.11393421,0.36654046,0.3823046,0.028911298,1.002492
